GEOID_2010,poverty,total,som_total,other_lang_total,other_very_well,other_less,geometry
27053001700,18,2298,375,354,254,100,"list(c(-93.274436, -93.26886, -93.26767, -93.263069, -93.260246, -93.260234, -93.260048, -93.260345, -93.263084, -93.274889, -93.274436, 45.005943, 45.006054, 45.005039, 45.005287, 45.005249, 45.005955, 45.006378, 45.013165, 45.013161, 45.013126, 45.005943))"
27053002200,30.1,1476,407,420,231,189,"list(c(-93.294084, -93.294089, -93.287987, -93.286439, -93.286453, -93.286438, -93.287987, -93.294195, -93.294084, 45.002606, 44.999143, 44.999138, 44.999138, 45.002571, 45.005917, 45.005913, 45.005948, 45.002606))"
27053002400,13.9,2393,236,162,84,78,"list(c(-93.275431, -93.270828, -93.26911, -93.267288, -93.260239, -93.260246, -93.263069, -93.26767, -93.26886, -93.274436, -93.274424, -93.275431, 44.998988, 44.998699, 44.998701, 44.998703, 44.998707, 45.005249, 45.005287, 45.005039, 45.006054, 45.005943, 45.00441, 44.998988))"
27053002700,32.2,2924,204,299,88,211,"list(c(-93.318467, -93.313354, -93.30822, -93.308212, -93.308197, -93.313332, -93.318459, -93.318467, 44.991558, 44.991528, 44.991505, 44.996323, 44.998764, 44.998806, 44.998906, 44.991558))"
27053003200,26.9,2125,0,44,44,0,"list(c(-93.349275, -93.349013, -93.349253, -93.348774, -93.348149, -93.347405, -93.344387, -93.341691, -93.340954, -93.341113, -93.342987, -93.328692, -93.328691, -93.328654, -93.318372, -93.318524, -93.318504, -93.318468, -93.316101, -93.308288, -93.308258, -93.30822, -93.313354, -93.318467, -93.318459, -93.31852, -93.321045, -93.32869, -93.331595, -93.333874, -93.333794, -93.333794, -93.338799, -93.349279, -93.349269, -93.349268, -93.349183, -93.349233, -93.349344, -93.349275, 44.987815, 44.984638, 
44.984646, 44.981843, 44.980508, 44.979526, 44.977316, 44.974534, 44.972551, 44.970086, 44.966622, 44.966484, 44.97002, 44.977142, 44.977298, 44.97783, 44.980747, 44.984051, 44.984018, 44.984511, 44.987892, 44.991505, 44.991528, 44.991558, 44.998906, 45.006042, 45.006049, 45.006069, 45.006103, 45.00611, 45.007839, 45.016888, 45.016899, 45.01697, 45.014449, 45.009681, 45.00723, 44.999176, 44.990718, 44.987815))"
27053003300,43.2,3070,553,591,393,198,"list(c(-93.308288, -93.303238, -93.298195, -93.29834, -93.301926, -93.303207, -93.30822, -93.308258, -93.308288, 44.984511, 44.984487, 44.984471, 44.991543, 44.991501, 44.991501, 44.991505, 44.987892, 44.984511))"
27053003800,93.35802268981999,6210.4764991134,0,68.8768233382,68.8768233382,0,"list(c(-93.244009, -93.24297, -93.2393, -93.237732, -93.236932, -93.234649, -93.236718, -93.237078, -93.239944, -93.242065, -93.243477, -93.242996, -93.24456, -93.246902, -93.247673, -93.249835, -93.253725, -93.24787, -93.245408, -93.245026, -93.244009, 44.978864, 44.980741, 44.980596, 44.982567, 44.983545, 44.986482, 44.98762, 44.987817, 44.989635, 44.991493, 44.991493, 44.989819, 44.987877, 44.984917, 44.983929, 44.981331, 44.980617, 44.978863, 44.978851, 44.978882, 44.978864))"
27053005901,38.9,2945,363,444,202,242,"list(c(-93.269929, -93.268479, -93.262535, -93.259662, -93.258165, -93.257158, -93.256048, -93.252271, -93.253907, -93.253044, -93.253365, -93.256406, -93.25812, -93.258148, -93.259644, -93.262539, -93.262538, -93.269721, -93.269856, -93.269937, -93.269929, 44.965911, 44.965548, 44.965839, 44.965834, 44.965837, 44.965862, 44.965513, 44.966, 44.967711, 44.969997, 44.970189, 44.971529, 44.969538, 44.968929, 44.968048, 44.968033, 44.968117, 44.968067, 44.968067, 44.966131, 44.965911))"
27053005902,46.7,3697,747,1014,571,443,"list(c(-93.269962, -93.267658, -93.262785, -93.262558, -93.262558, -93.259628, -93.259674, -93.259662, -93.258165, -93.257158, -93.256048, -93.252271, -93.253907, -93.253044, -93.253365, -93.256406, -93.25812, -93.258148, -93.259644, -93.262539, -93.262538, -93.269721, -93.269856, -93.269937, -93.269929, -93.269925, -93.269962, 44.960915, 44.960903, 44.960946, 44.960918, 44.959118, 44.959126, 44.962719, 44.965834, 44.965837, 44.965862, 44.965513, 44.966, 44.967711, 44.969997, 44.970189, 44.971529, 
44.969538, 44.968929, 44.968048, 44.968033, 44.968117, 44.968067, 44.968067, 44.966131, 44.965911, 44.962692, 44.960915))"
27053006800,12.7,3950,648,504,224,280,"list(c(-93.288033, -93.277863, -93.277847, -93.277846, -93.277817, -93.282982, -93.288002, -93.28801, -93.288017, -93.288033, 44.95731, 44.957336, 44.959114, 44.959202, 44.962696, 44.962704, 44.9627, 44.960918, 44.959118, 44.95731))"
